epoch,train_loss,val_mae,val_corr,val_coverage_90,val_mean_posterior_std,val_frac_out_of_range,epoch_time_sec,cumulative_time_sec
5,0.9792006015777588,0.03339504788981716,0.9788212415499753,0.89453125,0.05770536278551773,0.009391276041666667,83.95161533355713,83.95161533355713
10,0.9205896258354187,0.03333403975820442,0.979595584983159,0.90234375,0.05468108284321613,0.00712890625,78.30028223991394,162.25189757347107
15,0.9132126569747925,0.032867733444526356,0.9794941375699984,0.869140625,0.05056593468577836,0.006673177083333333,80.2664065361023,242.51830410957336
20,0.9051964282989502,0.032302614268630014,0.9801321797205891,0.890625,0.05022313077665169,0.006591796875,78.06419801712036,320.5825021266937
25,0.9152529239654541,0.031683059685162475,0.9807441219478559,0.884765625,0.047637031108475655,0.004264322916666666,75.78842782974243,396.37092995643616
30,0.896144688129425,0.031603364433625686,0.9806730592845962,0.873046875,0.04542383679762231,0.00263671875,79.19216823577881,475.56309819221497
35,0.9098713397979736,0.031464308094769425,0.9811562753107227,0.896484375,0.047220342769101975,0.0033365885416666665,78.10404062271118,553.6671388149261
40,0.9077812433242798,0.03127067142892208,0.9812100323812881,0.87109375,0.045366561576417525,0.002392578125,79.02852034568787,632.695659160614
45,0.8781490921974182,0.03151234753750132,0.9810010515904176,0.892578125,0.045343379606398636,0.002001953125,77.09056401252747,709.7862231731415
50,0.8710930347442627,0.030854965761239955,0.9814238878780841,0.888671875,0.04631845932243544,0.0017903645833333333,80.12111449241638,789.9073376655579
55,0.8934974670410156,0.03104192336700977,0.9816046322251484,0.892578125,0.04429219403732495,0.001171875,79.77719831466675,869.6845359802246
60,0.8955974578857422,0.031227317753457322,0.9813110682968786,0.859375,0.045135871455546206,0.0015625,76.74954080581665,946.4340767860413
65,0.8805786967277527,0.031109312022446017,0.9811873562661821,0.869140625,0.046437339794014466,0.0013671875,77.68355441093445,1024.1176311969757
70,0.8729308247566223,0.030856005596328392,0.9816178722265896,0.892578125,0.04557268128236691,0.0017903645833333333,74.56898522377014,1098.6866164207458
75,0.8940216898918152,0.03040257115233723,0.9820112770704262,0.875,0.04395644913855059,0.001416015625,76.91904830932617,1175.605664730072
80,0.8687370419502258,0.030941570842899786,0.9813571790676907,0.884765625,0.04333368825380418,0.0009114583333333333,76.25941514968872,1251.8650798797607
85,0.8728241920471191,0.03096515058511145,0.9816585152086603,0.876953125,0.042743190587174976,0.00146484375,77.97894883155823,1329.844028711319
90,0.8821103572845459,0.030493408959625695,0.9818794631377803,0.873046875,0.043748423900840494,0.001171875,78.33757138252258,1408.1816000938416
95,0.8672313094139099,0.030404275649132027,0.9822664696898138,0.859375,0.0409352547661862,0.000927734375,76.68160700798035,1484.863207101822
100,0.8626348376274109,0.030819251550228015,0.9816666838516499,0.857421875,0.043114431044970314,0.0009765625,75.67310357093811,1560.53631067276
105,0.8848666548728943,0.030662273306243222,0.9819168680252449,0.853515625,0.04265346975044372,0.0011881510416666666,76.6378767490387,1637.1741874217987
